LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
MA;6676675.081;25498141.97;1;2010
MA;6675627.704;25496139.29;1;2010
MA;6672202.058;25493917.46;1;2010
MA;6677932.203;25504720.59;1;2010
MA;6681786.655;25500385.73;1;2010
MA;6672658.593;25496831.66;1;2010
MA;6680530.089;25502212.1;1;2010
MA;6680960.752;25501629.64;1;2010
MA;6680979.797;25495920.03;1;2010
MA;6671694.651;25496921.91;1;2010
MA;6677944.091;25493622.39;2;2010
PP;6672123.545;25492547.89;1;2010
MA;6676148.377;25496413.71;1;2010
MA;6684185.582;25503330.15;1;2010
MA;6672376.661;25493239.71;1;2010
MA;6674819.082;25499208.92;1;2010
MA;6681008.036;25500944.72;1;2010
MA;6672107.783;25496057.8;1;2010
MA;6673049.692;25496561.63;1;2010
MA;6673576.493;25495485.94;2;2010
MA;6674818.814;25497845.97;1;2010
MA;6674240.03;25497767.44;2;2010
MA;6672762.855;25495615.66;1;2010
MA;6677290.81;25503071.83;1;2010
MA;6681502.379;25493880.78;1;2010
MA;6678499.896;25502385.72;1;2010
MA;6672981.757;25497754.53;1;2010
MA;6677417.454;25504377.93;1;2010
MA;6671272.033;25493409.26;1;2010
MA;6672734.185;25496585.2;1;2010
MA;6676217.725;25493550.62;1;2010
MA;6673959.647;25496076.75;1;2010
MA;6679382.307;25504194.29;1;2010
MA;6676258.927;25501746.13;1;2010
MA;6675039.12;25500856.43;1;2010
MA;6672408.845;25495359.2;1;2010
MA;6675981.582;25507388.59;1;2010
MA;6672778.779;25496768.98;1;2010
MA;6671907.181;25496835.41;1;2010
JK;6673268.494;25496384.89;2;2010
MA;6675208.033;25497877.21;2;2010
MA;6672164.926;25495664.79;1;2010
MA;6671680.081;25496738.22;1;2010
JK;6672536.274;25498013.19;1;2010
MA;6685705.205;25501631.88;1;2010
MA;6682197.376;25503469.49;1;2010
PP;6678137.404;25498217.74;2;2010
MA;6673450.447;25497237.98;1;2010
MA;6679448.109;25500092.36;1;2010
MA;6679592.842;25500641.37;1;2010
MA;6673784.868;25495955.96;1;2010
MA;6677176.988;25492051.54;1;2010
MA;6679904.206;25504409.63;1;2010
MP;6680351.668;25493784.58;1;2010
MA;6679050.905;25506665.11;1;2010
MA;6682033.415;25496081.22;1;2010
MA;6672167.956;25495665.7;1;2010
MA;6675013.266;25495346.34;1;2010
MA;6675602.587;25496367.21;2;2010
MA;6672420.814;25495126.67;1;2010
MA;6680987.189;25495932.82;1;2010
MA;6671983.838;25493617.86;2;2010
MA;6677349.479;25496950.71;1;2010
MA;6680238.348;25492687.25;1;2010
MA;6683902.274;25501775.62;1;2010
MA;6680200.341;25502591.36;1;2010
MA;6672863.356;25497975.27;1;2010
MA;6675086.402;25495150.99;1;2010
MA;6674529.125;25502784.24;1;2010
MA;6672204.022;25497120.63;1;2010
JK;6676992.366;25493124.87;2;2010
MA;6680212.338;25493908.88;1;2010
MA;6673992.915;25495721.49;1;2010
MA;6674912.1;25496961.53;1;2010
MA;6671841.526;25497145.62;1;2010
MA;6675105.275;25495443.62;1;2010
MA;6675983.171;25494528.4;1;2010
MA;6679796.639;25493466.17;1;2010
MA;6680566.652;25491435.45;1;2010
MA;6674569.481;25502662.94;1;2010
MA;6674541.764;25495505.73;1;2010
MA;6673103.931;25495577.31;1;2010
MA;6672184.982;25495666.19;1;2010
MA;6675081.335;25497328.66;1;2010
MA;6676982.175;25502595.83;1;2010
MA;6679151.743;25491932.65;1;2010
MA;6675984.382;25496747.91;1;2010
MA;6674809.093;25496699.46;1;2010
MA;6672183.751;25502794.25;1;2010
MA;6679034.621;25492261.42;1;2010
MA;6678496.674;25505878.33;2;2010
MA;6680946.001;25497082.87;1;2010
PP;6675150.287;25498250.22;2;2010
MA;6675956.269;25494334.08;1;2010
MA;6672810.916;25497631.61;1;2010
PP;6674684.291;25492151.09;1;2010
MA;6678553.836;25494293.39;1;2010
MA;6677122.579;25493327.07;1;2010
MA;6673235.284;25496940.28;1;2010
MA;6677344.074;25493107.21;1;2010
MA;6676208.969;25495903.52;1;2010
MA;6678505.861;25496573.43;1;2010
MA;6680514.145;25493631.55;1;2010
MA;6677362.769;25493922.2;1;2010
MA;6677315.896;25503107.09;1;2010
MA;6673962.576;25497659.77;1;2010
MA;6677145.695;25493264.32;1;2010
MA;6677401.215;25494068.14;1;2010
MA;6681278.801;25494427.94;1;2010
MA;6673157.129;25495813.86;1;2010
MA;6672422.117;25495136.64;1;2010
MA;6675309.224;25497616.96;1;2010
MA;6676684.988;25498039.6;1;2010
JK;6677301.389;25493712.92;2;2010
MA;6674226.257;25495628.36;1;2010
MA;6672116.043;25497024.22;1;2010
MA;6681117.378;25498642.77;2;2010
MA;6673076.867;25496632.86;1;2010
MA;6672772.653;25497425.63;1;2010
MA;6677096.987;25496478.03;1;2010
MA;6675178.252;25497720;1;2010
MA;6680995.161;25501015.16;1;2010
MA;6685732.351;25501636.06;1;2010
MA;6680070.748;25492407.14;2;2010
JK;6673117.402;25496814.76;1;2010
MA;6679539.549;25504231.55;1;2010
MA;6680011.65;25496267.6;1;2010
MA;6679066.69;25506591.58;1;2010
MA;6673138.37;25496482.9;2;2010
MA;6677326.596;25494016.36;1;2010
